graceid,superevent,bankid,tmplt_idx,cohsnr,far,mchirp,min_dist,bay_dist,bay_std
G355915,S191129u,402,131,12.849726,1.7704571000000002e-22,8.545968,1006.7508,776.8899303883054,206.4626761719031
G356440,S191204r,404,1,16.417034,6.3472866e-10,9.727731,910.81134,606.7216708438618,161.194314513505
G358085,S191222n,407,435,11.616092,3.9050373e-12,11.484377,296.51758,268.1020083462928,84.53578574830787
G360371,S200115j,186,127,10.404291,1.5126901e-11,2.5873814,461.69662,371.6364676975933,110.8471268429028
G363345,S200208q,415,796,9.891418,1.4876828e-05,33.436714,3399.8914,2579.842165992521,799.8801003078302
G364594,S200219ac,415,901,10.32342,1.6647656e-06,42.799755,4024.6094,3165.463701394418,956.9146154224012
G365368,S200224ca,415,890,18.047821,9.4194756e-11,41.256714,2318.491,1663.740178554732,461.3589683864158
G365424,S200225q,413,725,12.488112,5.9586014e-06,16.964334,1366.3187,1175.659004513148,328.6960118845635
G367786,S200311bg,415,803,16.042618,1.0264637e-07,33.778442,2189.5415,1183.389448597542,286.5405995476636
G368542,S200316bj,405,612,9.581463,4.7073588e-08,10.666521,1609.8046,1268.649915497143,396.5615728200603
